metric,pair,mean,std,n
tfidf_cosine,red_red,0.004168943688704665,0.022784908565512067,30000
tfidf_cosine,blue_blue,0.003993568399732321,0.020854005318608926,30000
tfidf_cosine,red_blue,0.003783789332559478,0.02004742255364354,30000
sentence_transformer_cosine,red_red,0.31965458247251033,0.17380182335907235,30000
sentence_transformer_cosine,blue_blue,0.3158830514531815,0.17725293168752473,30000
sentence_transformer_cosine,red_blue,0.31859704650457327,0.17472388788046508,30000
bm25_score,red_red,0.33763035147411585,1.3205960944233548,30000
bm25_score,blue_blue,0.3590565802359618,1.3258672730929213,30000
bm25_score,red_blue,0.333440711568978,1.279576949757079,30000
